Aantalcilinders,Aantalzitplaatsen,Brandstofverbruikbuitenweg,Brandstofverbruikgecombineerd,Brandstofverbruikstad,Cilinderinhoud,CO2uitstootgecombineerd,Datumeerstetoelating,Handelsbenaming,Hoofdbrandstof,Inrichting,Massaleegvoertuig,Merk,Milieuclassificatie,Nevenbrandstof,Toegestanemaximummassavoertuig,Vermogen,Zuinigheidslabel
4,4,5.8,7,8.8,1984,159,2014-01-17T00:00:00,AUDI A5,Benzine,coupe,1525,AUDI,Euro 5,Niet geregistreerd,2050,155,C
3,4,3.6,4.1,5,999,95,2014-01-07T00:00:00,UP,Benzine,hatchback,840,VOLKSWAGEN,Euro 5,Niet geregistreerd,1290,44,A
4,5,3.6,4.2,5.2,1598,109,2014-01-30T00:00:00,JETTA,Diesel,sedan,1295,VOLKSWAGEN,Euro 5,Niet geregistreerd,1900,77,C
4,5,4.6,5.7,7.6,1997,150,2014-01-08T00:00:00,508,Diesel,stationwagen,1515,PEUGEOT,Euro 5,Niet geregistreerd,2180,120,E
4,5,4.1,4.7,5.6,1248,105,2014-01-03T00:00:00,RIO,Benzine,MPV,1004,KIA,Euro 5,Niet geregistreerd,1560,63,A
4,5,4.8,5.5,6.8,1329,127,2014-12-15T00:00:00,SUBARU TREZIA,Benzine,hatchback,1045,SUBARU,Euro 5,Niet geregistreerd,1505,73,C
4,4,5.3,6.4,8.4,1390,149,2014-02-24T00:00:00,GOLF,Benzine,cabriolet,1356,VOLKSWAGEN,Euro 5,Niet geregistreerd,1890,90,D
4,4,5.1,6,7.6,1390,139,2014-04-14T00:00:00,SCIROCCO,Benzine,coupe,1219,VOLKSWAGEN,Euro 5,Niet geregistreerd,1690,90,C
4,5,4.3,4.9,5.9,1197,113,2014-01-16T00:00:00,IBIZA,Benzine,MPV,995,SEAT,Euro 5,Niet geregistreerd,1546,77,B
4,7,5.2,5.9,7.2,1197,139,2014-02-14T00:00:00,TOURAN,Benzine,MPV,1406,VOLKSWAGEN,Euro 5,Niet geregistreerd,2150,77,C
4,5,4.4,5.2,6.5,1395,120,2014-04-08T00:00:00,A3,Benzine,stationwagen,1150,AUDI,Euro 5,Niet geregistreerd,1735,90,B
3,4,3.6,4.1,5,999,95,2014-01-03T00:00:00,MII,Benzine,hatchback,840,SEAT,Euro 5,Niet geregistreerd,1290,44,A
4,5,3.6,4.2,5.2,1598,109,2014-03-19T00:00:00,GOLF,Diesel,stationwagen,1352,VOLKSWAGEN,Euro 5,Niet geregistreerd,1960,77,C
4,4,3,3.6,4.6,1248,95,2014-03-19T00:00:00,ALFA MITO,Diesel,MPV,1146,ALFA ROMEO,Euro 5,Niet geregistreerd,1630,62,C
4,5,4.9,5.8,7.4,1590,133,2014-04-07T00:00:00,MITSUBISHI ASX,Benzine,stationwagen,1235,MITSUBISHI,Euro 5,Niet geregistreerd,1870,86,C
4,5,4.3,5.1,6.6,1197,119,2014-01-31T00:00:00,FABIA,Benzine,hatchback,1016,SKODA,Euro 5,Niet geregistreerd,1571,63,C
3,4,3.6,4.1,5,999,96,2014-01-14T00:00:00,UP,Benzine,hatchback,840,VOLKSWAGEN,Euro 5,Niet geregistreerd,1290,44,A
4,5,6.2,6.2,6.2,1984,145,2014-02-06T00:00:00,A6 LIMOUSINE HYBRID,Elektriciteit,sedan,1745,AUDI,Euro 5,Benzine,2320,155,B
4,5,4,4.3,4.9,1598,113,2014-04-28T00:00:00,JETTA,Diesel,sedan,1315,VOLKSWAGEN,Euro 5,Niet geregistreerd,1920,77,C
4,5,4.3,5.1,6.5,1968,134,2014-03-24T00:00:00,GOLF,Diesel,stationwagen,1309,VOLKSWAGEN,Euro 5,Niet geregistreerd,1890,125,F
4,5,5.5,7.1,9.5,1798,165,2014-03-26T00:00:00,CC,Benzine,sedan,1413,VOLKSWAGEN,Euro 5,Niet geregistreerd,2060,118,C
4,5,3.3,3.8,4.6,1598,99,2014-02-28T00:00:00,LEON,Diesel,stationwagen,1186,SEAT,Euro 5,Niet geregistreerd,1820,77,C
3,4,3.8,4.3,5.1,998,99,2014-12-31T00:00:00,CITROEN C1,Benzine,hatchback,805,CITROEN,Euro 5,Niet geregistreerd,1190,50,B
4,5,3.6,4.1,4.9,1968,106,2015-03-31T00:00:00,A3,Diesel,stationwagen,1255,AUDI,Euro 5,Niet geregistreerd,1840,110,D
4,5,4.8,5.5,6.8,1329,127,2014-10-11T00:00:00,SUBARU TREZIA,Benzine,MPV,1045,SUBARU,Euro 5,Niet geregistreerd,1505,73,C
5,5,4.9,6.2,8.5,2400,162,2014-10-03T00:00:00,V60,Diesel,stationwagen,1543,VOLVO,Euro 5,Niet geregistreerd,2200,158,F
4,5,6,7.3,9.6,1598,169,2014-08-25T00:00:00,PARTNER,Benzine,stationwagen,1295,PEUGEOT,Euro 5,Niet geregistreerd,2000,88,E
4,5,4.1,4.7,5.6,1248,105,2014-02-07T00:00:00,RIO,Benzine,MPV,999,KIA,Euro 5,Niet geregistreerd,1560,63,A
4,4,5,5.9,7.6,1197,137,2014-05-08T00:00:00,BEETLE,Benzine,hatchback,1174,VOLKSWAGEN,Euro 5,Niet geregistreerd,1680,77,C
4,5,5.1,6,7.5,1998,157,2014-01-02T00:00:00,SSANGYONG KORANDO,Diesel,stationwagen,1566,SSANGYONG,Euro 5,Niet geregistreerd,2180,129,G
4,5,5.8,6.4,7.5,1591,149,2014-01-03T00:00:00,SPORTAGE,Benzine,MPV,1280,KIA,Euro 5,Niet geregistreerd,1830,99,C
4,5,4.3,5,6.4,1591,118,2014-02-28T00:00:00,I 30,Benzine,hatchback,1168,HYUNDAI,Euro 5,Niet geregistreerd,1720,99,B
4,4,5.4,6.6,8.7,1390,154,2014-01-02T00:00:00,SCIROCCO,Benzine,coupe,1246,VOLKSWAGEN,Euro 5,Niet geregistreerd,1720,118,D
4,5,4.3,4.9,5.9,1197,113,2014-01-27T00:00:00,POLO,Benzine,hatchback,1007,VOLKSWAGEN,Euro 5,Niet geregistreerd,1580,66,B
3,5,3.6,4.1,5,998,95,2014-02-28T00:00:00,PICANTO,Benzine,MPV,820,KIA,Euro 5,Niet geregistreerd,1340,51,A
4,5,3.6,4.1,5,1995,109,2014-03-27T00:00:00,3ER REIHE,Diesel,sedan,1405,BMW,Euro 5,Niet geregistreerd,1980,120,C
4,5,4.4,5.3,6.8,1395,123,2014-06-03T00:00:00,GOLF,Benzine,stationwagen,1147,VOLKSWAGEN,Euro 5,Niet geregistreerd,1750,90,B
4,5,3.8,4.3,5.2,1598,114,2014-03-06T00:00:00,PASSAT,Diesel,sedan,1399,VOLKSWAGEN,Euro 5,Niet geregistreerd,2040,77,C
4,5,4.3,4.9,5.9,1197,114,2014-07-24T00:00:00,GOLF,Benzine,stationwagen,1135,VOLKSWAGEN,Euro 5,Niet geregistreerd,1730,77,A
4,5,3.8,4.3,5.3,1248,100,2014-01-14T00:00:00,PICANTO,Benzine,MPV,830,KIA,Euro 5,Niet geregistreerd,1370,63,B
6,5,5.2,5.9,7.2,2967,156,2014-01-08T00:00:00,A6 LIMOUSINE,Diesel,sedan,1695,AUDI,Euro 5,Niet geregistreerd,2330,180,D
3,5,3.6,4.2,5.4,998,99,2014-02-28T00:00:00,PICANTO,Benzine,MPV,820,KIA,Euro 5,Niet geregistreerd,1340,51,B
3,4,3.7,4.2,5.1,999,98,2014-02-25T00:00:00,CITIGO,Benzine,hatchback,840,SKODA,Euro 5,Niet geregistreerd,1290,55,B
3,4,3.6,4.1,5,999,95,2014-02-27T00:00:00,CITIGO,Benzine,hatchback,840,SKODA,Euro 5,Niet geregistreerd,1290,44,A
3,5,3.8,4.2,5,998,99,2014-02-28T00:00:00,I 10,Benzine,MPV,863,HYUNDAI,Euro 5,Niet geregistreerd,1400,51,B
3,5,3.6,4.1,5,998,95,2014-01-16T00:00:00,PICANTO,Benzine,MPV,815,KIA,Euro 5,Niet geregistreerd,1340,51,A
4,5,4.1,4.7,5.6,1248,109,2014-01-10T00:00:00,I20,Benzine,MPV,945,HYUNDAI,Euro 5,Niet geregistreerd,1515,63,B
4,5,4.4,5.1,6.5,1197,119,2014-02-15T00:00:00,IBIZA ST,Benzine,stationwagen,1045,SEAT,Euro 5,Niet geregistreerd,1605,63,B
4,4,5.3,6.6,8.7,1390,153,2014-05-09T00:00:00,BEETLE,Benzine,hatchback,1259,VOLKSWAGEN,Euro 5,Niet geregistreerd,1750,118,D
4,5,4.3,4.9,5.9,1197,114,2014-02-11T00:00:00,RAPID,Benzine,sedan,1055,SKODA,Euro 5,Niet geregistreerd,1615,63,B
4,5,4.5,5.1,6,1197,117,2014-02-27T00:00:00,OCTAVIA,Benzine,stationwagen,1147,SKODA,Euro 5,Niet geregistreerd,1817,77,A
4,5,5.1,5.7,6.9,1197,132,2014-01-07T00:00:00,ALTEA,Benzine,MPV,1260,SEAT,Euro 5,Niet geregistreerd,1880,77,C
4,5,4.5,5.1,6.1,1968,135,2014-02-19T00:00:00,A6 AVANT,Diesel,stationwagen,1625,AUDI,Euro 5,Niet geregistreerd,2280,130,C
